"","goldschmidt_TF","goldschmidt_TF_ionic","octahedral_factor","octahedral_factor_ionic","A_O","B_O","A_B"
"1",1.02182286751,0.976827924526,0.414285714286,0.385714285714,2.86125,1.98,2.04125
"2",0.987384857667,0.889057428541,0.378571428571,0.464285714286,2.695,1.93,1.825
"3",0.97600899124,0.908360249678,0.452857142857,0.392857142857,2.8075,2.034,2.0415
"4",1.02680931523,0.865275403294,0.342857142857,0.492857142857,2.73,1.88,1.81
"5",0.909000715884,0.916519174076,0.452857142857,0.392857142857,2.61475,2.034,1.84875
"6",0.915258298018,0.921958457009,0.452857142857,0.392857142857,2.63275,2.034,1.86675
"7",0.918647821674,0.91379953261,0.452857142857,0.392857142857,2.6425,2.034,1.8765
"8",1.03409787041,0.905441610056,0.378571428571,0.464285714286,2.8225,1.93,1.9525
"9",1.02349173841,0.918888762681,0.392857142857,0.442857142857,2.8225,1.95,1.9725
"10",0.981223643018,0.951874513136,0.452857142857,0.392857142857,2.8225,2.034,2.0565
"11",0.98802420292,0.918888762681,0.442857142857,0.442857142857,2.8225,2.02,2.0425
"12",0.988513566072,0.896693381939,0.442142857143,0.478571428571,2.8225,2.019,2.0415
"13",1.06160047335,0.888112584026,0.342857142857,0.492857142857,2.8225,1.88,1.9025
"14",0.930447034918,0.863328046798,0.532142857143,0.535714285714,2.8225,2.145,2.1675
"15",0.995415905187,0.923460348565,0.432142857143,0.435714285714,2.8225,2.005,2.0275
"16",1.00798428783,0.956781082791,0.414285714286,0.385714285714,2.8225,1.98,2.0025
"17",0.85867932622,0.832210288627,0.452857142857,0.392857142857,2.47,2.034,1.704
"18",0.957757710014,0.987229852195,0.452857142857,0.392857142857,2.755,2.034,1.989
"19",0.990132681946,0.89768068197,0.378571428571,0.464285714286,2.7025,1.93,1.8325
"20",0.979977474952,0.911012573286,0.392857142857,0.442857142857,2.7025,1.95,1.8525
"21",0.939506428789,0.943715588737,0.452857142857,0.392857142857,2.7025,2.034,1.9365
"22",0.946017859483,0.911012573286,0.442857142857,0.442857142857,2.7025,2.02,1.9225
"23",0.946486417116,0.889007438666,0.442142857143,0.478571428571,2.7025,2.019,1.9215
"24",1.01646599796,0.880500190449,0.342857142857,0.492857142857,2.7025,1.88,1.7825
"25",0.890888613593,0.855928092111,0.532142857143,0.535714285714,2.7025,2.145,2.0475
"26",0.953095299829,0.915544974148,0.432142857143,0.435714285714,2.7025,2.005,1.9075
"27",0.965129331392,0.948580102081,0.414285714286,0.385714285714,2.7025,1.98,1.8825
"28",0.949935732346,0.930117381407,0.452857142857,0.392857142857,2.7325,2.034,1.9665
"29",0.979794236697,0.844975687088,0.342857142857,0.492857142857,2.605,1.88,1.685
"30",1.05608046465,0.931311370343,0.378571428571,0.464285714286,2.8825,1.93,2.0125
"31",1.02837300543,0.954594154602,0.415714285714,0.428571428571,2.8825,1.982,2.0645
"32",1.04151011588,0.945142727329,0.397857142857,0.442857142857,2.8825,1.957,2.0395
"33",1.01505741871,0.966677624913,0.434285714286,0.410714285714,2.8825,2.008,2.0905
"34",1.02141583401,0.961807712445,0.425357142857,0.417857142857,2.8825,1.9955,2.078
"35",1.0085281033,0.972834807238,0.443571428571,0.401785714286,2.8825,2.021,2.1035
"36",1.01165668037,0.970362545974,0.439107142857,0.405357142857,2.8825,2.01475,2.09725
"37",1.00208225013,0.979070927797,0.452857142857,0.392857142857,2.8825,2.034,2.1165
"38",1.00300685084,0.97159710392,0.451517857143,0.403571428571,2.8825,2.032125,2.114625
"39",1.00393315935,0.9642365198,0.450178571429,0.414285714286,2.8825,2.03025,2.11275
"40",1.00579091871,0.949844929952,0.4475,0.435714285714,2.8825,2.0265,2.109
"41",1.00952714055,0.922313192852,0.442142857143,0.478571428571,2.8825,2.019,2.1015
"42",1.08416771105,0.913487229284,0.342857142857,0.492857142857,2.8825,1.88,1.9625
"43",1.02941176605,0.984117685157,0.414285714286,0.385714285714,2.8825,1.98,2.0625
"44",0.955784878456,0.869223945654,0.378571428571,0.464285714286,2.60875,1.93,1.73875
"45",0.945981956626,0.882133212173,0.392857142857,0.442857142857,2.60875,1.95,1.75875
"46",0.906914855172,0.91379953261,0.452857142857,0.392857142857,2.60875,2.034,1.84275
"47",0.913200403673,0.882133212173,0.442857142857,0.442857142857,2.60875,2.02,1.82875
"48",0.913652706994,0.860825646662,0.442142857143,0.478571428571,2.60875,2.019,1.82775
"49",0.981204689053,0.852588080665,0.342857142857,0.492857142857,2.60875,1.88,1.68875
"50",0.859983596933,0.828794924926,0.532142857143,0.535714285714,2.60875,2.145,1.95375
"51",0.920032326893,0.886521934622,0.432142857143,0.435714285714,2.60875,2.005,1.81375
"52",0.931648896677,0.918509839479,0.414285714286,0.385714285714,2.60875,1.98,1.78875
"53",1.00753556905,0.905872772727,0.378571428571,0.464285714286,2.75,1.93,1.88
"54",0.959061372959,0.940089400116,0.452857142857,0.392857142857,2.75875,2.034,1.99275
"55",1.04091383879,0.885152208746,0.342857142857,0.492857142857,2.7675,1.88,1.8475
"56",0.983396414593,0.92558464563,0.452857142857,0.392857142857,2.82875,2.034,2.06275
"57",1.01740629953,0.875002350643,0.342857142857,0.492857142857,2.705,1.88,1.785
"58",0.896485551615,0.882070382172,0.452857142857,0.392857142857,2.57875,2.034,1.81275
"59",1.00344180611,0.969797850024,0.451517857143,0.403571428571,2.88375,2.032125,2.115875
"60",1.04833956969,1.00709147624,0.450178571429,0.414285714286,3.01,2.03025,2.24025
"61",0.969925230831,0.951874513136,0.452857142857,0.392857142857,2.79,2.034,2.024
"62",0.935321995738,0.842271265168,0.506607142857,0.574107142857,2.79,2.10925,2.09925
"63",1.06715590337,0.891569419757,0.360714285714,0.478571428571,2.875,1.905,1.98
"64",1.0601992156,0.895897426649,0.369642857143,0.471428571429,2.875,1.9175,1.9925
"65",1.0567547737,0.898077225741,0.374107142857,0.467857142857,2.875,1.92375,1.99875
"66",1.04628512399,0.905790772465,0.387857142857,0.455357142857,2.875,1.943,2.018
"67",1.07038672945,0.890493943979,0.356607142857,0.480357142857,2.875,1.89925,1.97425
"68",1.03933128625,0.911382073529,0.397142857143,0.446428571429,2.875,1.956,2.031
"69",1.05964659677,0.898077225741,0.370357142857,0.467857142857,2.875,1.9185,1.9935
